NBC,BOX NO.,REV,6 DIGIT,LENGTH,WIDTH,DEPTH,STYLE,TEST,PRINTING,COMENT,PZS X HOJA,MEDIDA CORTE A CORTE,ANCHO  CM,LARGO CM,TAPA CM,ALTURA CM,FONDO CM,MATERIAL,OUT/LENGTH,OUT/WIDTH,OUT/DEPTH,CUBE/1,CUBE/12,CUBE/6,CUBE/4,GIR&LNTH/84,SQ FT OF ITEM,LB PER SQ FT,ITEM WT/LB,T/B FLAT DIM,L/R FLAT DIM
NBC111,1888,NA,25129,24.4375,14.9375,12.1875,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 113565,NA,NA,NA,NA,NA,NA,NA,NA,24.6875,15.1875,12.6875,2.753,0.229,0.459,0.688,80.438,15.5479,0.122,1.8968,28.125,39.375
NBC111,4005,NA,25130,34.625,14.375,14.625,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 435088,NA,NA,NA,NA,NA,NA,NA,NA,34.875,14.625,15.125,4.464,0.372,0.744,1.116,94.375,20.5844,0.122,2.5113,30,49
NBC111,7-258,NA,600497,6.1875,6.1875,12.625,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,6.4375,6.4375,13.125,0.315,0.026,0.052,0.079,45.563,3.6121,0.122,0.4407,19.8125,12.375
NBC111,2233,NA,751895,22.25,15.1875,15.9375,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,22.5,15.4375,16.4375,3.304,0.275,0.551,0.826,86.25,16.9379,0.122,2.0664,32.125,37.4375
NBC111,7-1596SY,NA,600490,6.0625,6.0625,14.8125,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,6.3125,6.3125,15.3125,0.353,0.029,0.059,0.088,49.563,3.9248,0.122,0.4788,21.875,12.125
NBC111,AA-1,NA,600499,8.25,8.25,12.625,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,8.5,8.5,13.125,0.549,0.046,0.091,0.137,51.75,5.2198,0.122,0.6368,21.875,16.5
NBC111,1901,NA,25131,6.375,6.375,9,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 223979,NA,NA,NA,NA,NA,NA,NA,NA,6.625,6.625,9.5,0.241,0.02,0.04,0.06,38.875,3.0499,0.122,0.3721,16.375,12.75
NBC111,2095,NA,600710,16.625,10.8125,10.625,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,16.875,11.0625,11.125,1.202,0.1,0.2,0.3,61.25,8.7058,0.122,1.0621,22.4375,27.4375
NBC111,2653,NA,600457,20.0625,20.0625,10.625,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,20.3125,20.3125,11.125,2.656,0.221,0.443,0.664,83.188,17.8347,0.122,2.1758,31.6875,40.125
NBC111,1773,NA,25132,8.8125,8.8125,8.6875,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 119423,NA,NA,NA,NA,NA,NA,NA,NA,9.0625,9.0625,9.1875,0.437,0.036,0.073,0.109,45.563,4.6739,0.122,0.5702,18.5,17.625
NBC111,13236,NA,600441,24.0625,18.6875,6.3125,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,24.3125,18.9375,6.8125,1.815,0.151,0.303,0.454,75.813,15.527,0.122,1.8943,26,42.75
NBC111,3548,NA,25133,11.4173,11.4173,16.1417,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 114677,NA,NA,NA,NA,NA,NA,NA,NA,11.6673,11.6673,16.6417,1.311,0.109,0.218,0.328,68.285,9.3192,0.122,1.1369,28.5591,22.8346
NBC111,7-1588,NA,600477,4.5,4.5,14.75,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,4.75,4.75,15.25,0.199,0.017,0.033,0.05,44.75,2.7713,0.122,0.3381,20.25,9
NBC111,3492,NA,25134,14.375,12.9375,14.625,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 435794,NA,NA,NA,NA,NA,NA,NA,NA,14.625,13.1875,15.125,1.688,0.141,0.281,0.422,71.25,11.068,0.122,1.3503,28.5625,27.3125
NBC111,2154,NA,25135,19.25,10.75,11,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 720002,NA,NA,NA,NA,NA,NA,NA,NA,19.5,11,11.5,1.428,0.119,0.238,0.357,64.5,9.6311,0.122,1.175,22.75,30
NBC111,125,NA,600434,23.4375,14.375,14.25,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,23.6875,14.625,14.75,2.957,0.246,0.493,0.739,82.438,15.759,0.122,1.9226,29.625,37.8125
